Fecha,NO,NO2,SO2,NOX,PM10,TMP,HR,PRB,VV,O3,RS,DD
2022-04-19,2.375,9.541666666666666,3.3333333333333335,13.208333333333334,9.011787819253438,18.291666666666668,88.75,1008.875,1.3333333333333333,50.97019810508183,6053.0,163.3199989368421
2022-04-20,2.125,7.708333333333333,2.875,11.166666666666666,8.540275049115914,13.916666666666666,90.95833333333333,1002.625,1.4166666666666667,50.482342807924205,1749.0,266.0742252683251
2022-04-21,2.1666666666666665,6.625,2.125,9.916666666666666,10.63989849377865,16.708333333333332,55.083333333333336,1004.1666666666666,1.9583333333333333,49.99448751076658,5832.0,274.6676783754747
2022-04-22,2.4583333333333335,8.208333333333334,3.2083333333333335,12.166666666666666,10.958333333333334,16.333333333333332,67.33333333333333,1002.2083333333334,1.875,49.50663221360895,2928.0,238.66662666619152
2022-04-23,2.0416666666666665,6.208333333333333,2.875,9.625,9.791666666666666,17.625,59.5,1002.375,2.0833333333333335,49.01877691645133,5794.0,238.490301477484
2022-04-24,2.0416666666666665,6.666666666666667,2.125,10.125,5.5,16.416666666666668,65.875,1010.0,1.5833333333333333,48.53092161929371,6713.0,213.8765062413465
2022-04-25,3.0,8.833333333333334,3.1666666666666665,13.75,16.333333333333332,16.875,75.5,1010.5,1.0833333333333333,48.043066322136085,6726.0,144.83977988131525
2022-04-26,2.5,8.25,2.1666666666666665,12.208333333333334,18.583333333333332,16.75,75.83333333333333,1011.7916666666666,1.0833333333333333,47.55521102497846,5412.0,12.56027846712312
2022-04-27,2.625,9.708333333333334,2.625,13.625,18.25,16.041666666666668,80.91666666666667,1014.2916666666666,1.0,47.06735572782084,1228.0,255.7021240320865
2022-04-28,2.5416666666666665,8.625,3.4583333333333335,12.583333333333334,13.916666666666666,14.541666666666666,97.875,1016.7916666666666,1.0,46.57950043066322,1700.0,335.30522158139786
2022-04-29,2.1666666666666665,8.0,3.0833333333333335,11.541666666666666,18.166666666666668,17.333333333333332,78.625,1020.0,1.25,46.091645133505594,6204.0,350.73249696338075
2022-04-30,2.125,7.291666666666667,3.7083333333333335,10.958333333333334,18.041666666666668,19.208333333333332,58.666666666666664,1019.4583333333334,1.5833333333333333,45.60378983634797,6364.0,258.38566685311025
2022-05-01,2.5833333333333335,8.833333333333334,2.7916666666666665,12.708333333333334,26.791666666666668,21.25,61.083333333333336,1015.7916666666666,1.3333333333333333,45.11593453919035,5601.0,195.3153639572404
