Fecha,NO,NO2,SO2,O3,NOX,C6H6,C7H8,XIL,PM10,Ruido
12 nov. 2020 08:11,3.0,10.0,13.0,39.0,15.0,1.0,1.1,2.0,14.0,
12 nov. 2020 09:11,5.0,20.0,13.0,42.0,28.0,1.0,1.1,2.0,25.0,
12 nov. 2020 10:11,4.0,17.0,13.0,42.0,24.0,0.7,1.1,2.0,21.0,
12 nov. 2020 11:11,4.0,18.0,12.0,52.0,24.0,0.4,1.1,2.0,16.0,
12 nov. 2020 12:11,4.0,18.0,11.0,67.0,24.0,1.0,0.9,1.6,22.0,
12 nov. 2020 13:11,3.0,10.0,9.0,81.0,14.0,0.8,1.0,1.5,9.0,
12 nov. 2020 14:11,3.0,10.0,9.0,84.0,15.0,0.5,1.1,1.9,13.0,
12 nov. 2020 15:11,3.0,9.0,9.0,82.0,14.0,0.5,1.1,2.1,19.0,
12 nov. 2020 16:11,3.0,10.0,9.0,78.0,14.0,0.7,1.1,2.2,16.0,
12 nov. 2020 17:11,3.0,10.0,9.0,75.0,14.0,1.0,1.1,1.9,19.0,
12 nov. 2020 18:11,3.0,12.0,10.0,66.0,17.0,1.0,1.1,1.8,20.0,
12 nov. 2020 19:11,3.0,15.0,10.0,51.0,19.0,0.8,1.1,1.7,30.0,
12 nov. 2020 20:11,4.0,18.0,9.0,42.0,24.0,0.3,1.1,1.5,24.0,
12 nov. 2020 21:11,3.0,15.0,9.0,37.0,20.0,0.6,1.1,1.6,18.0,
12 nov. 2020 22:11,3.0,10.0,9.0,44.0,15.0,0.4,1.0,1.5,17.0,
12 nov. 2020 23:11,3.0,7.0,9.0,52.0,12.0,0.3,1.1,1.4,13.0,
13 nov. 2020 00:11,3.0,8.0,10.0,55.0,13.0,0.9,1.1,2.0,13.0,
13 nov. 2020 01:11,3.0,9.0,10.0,54.0,14.0,0.5,1.1,2.0,10.0,
13 nov. 2020 02:11,3.0,8.0,10.0,55.0,13.0,0.7,1.1,2.0,11.0,
13 nov. 2020 03:11,3.0,8.0,10.0,50.0,12.0,1.0,1.1,2.0,12.0,
13 nov. 2020 04:11,3.0,10.0,10.0,46.0,14.0,0.8,1.1,2.0,12.0,
13 nov. 2020 05:11,3.0,8.0,10.0,44.0,13.0,0.3,1.1,2.0,18.0,
13 nov. 2020 06:11,3.0,11.0,10.0,43.0,15.0,0.9,0.9,2.0,14.0,
13 nov. 2020 07:11,3.0,11.0,10.0,43.0,16.0,0.2,1.1,1.4,17.0,
13 nov. 2020 08:11,4.0,20.0,10.0,32.0,25.0,0.8,1.1,1.5,19.0,
13 nov. 2020 09:11,7.0,29.0,10.0,23.0,39.0,1.0,1.1,1.7,40.0,
13 nov. 2020 10:11,5.0,24.0,11.0,28.0,32.0,0.8,1.1,1.8,39.0,
13 nov. 2020 11:11,4.0,29.0,10.0,42.0,35.0,0.8,1.1,3.1,26.0,
13 nov. 2020 12:11,3.0,11.0,9.0,68.0,16.0,0.5,1.1,2.5,22.0,
13 nov. 2020 13:11,4.0,9.0,9.0,76.0,14.0,0.5,1.1,2.0,20.0,
13 nov. 2020 14:11,4.0,13.0,9.0,81.0,18.0,0.5,0.9,1.7,22.0,
13 nov. 2020 15:11,4.0,7.0,8.0,84.0,13.0,0.5,1.1,1.7,23.0,
13 nov. 2020 16:11,3.0,11.0,7.0,80.0,15.0,0.3,1.1,2.0,34.0,
13 nov. 2020 17:11,3.0,9.0,9.0,77.0,13.0,0.5,1.1,1.9,24.0,
13 nov. 2020 18:11,3.0,9.0,8.0,72.0,14.0,0.6,1.1,1.7,31.0,
13 nov. 2020 19:11,5.0,20.0,10.0,55.0,27.0,0.6,1.1,1.7,38.0,
13 nov. 2020 20:11,4.0,21.0,9.0,51.0,26.0,0.6,1.1,1.6,33.0,
13 nov. 2020 21:11,4.0,32.0,10.0,30.0,37.0,1.0,0.7,1.6,31.0,
13 nov. 2020 22:11,4.0,36.0,9.0,14.0,42.0,0.8,0.9,1.9,35.0,
13 nov. 2020 23:11,4.0,26.0,10.0,24.0,32.0,0.5,1.0,1.9,34.0,
14 nov. 2020 00:11,3.0,22.0,10.0,17.0,26.0,0.4,0.8,1.8,28.0,
14 nov. 2020 01:11,3.0,18.0,11.0,15.0,23.0,0.3,0.7,1.7,34.0,
14 nov. 2020 02:11,3.0,9.0,10.0,42.0,13.0,0.2,0.7,1.6,28.0,
14 nov. 2020 03:11,3.0,11.0,10.0,31.0,15.0,1.0,0.5,1.4,20.0,
14 nov. 2020 04:11,3.0,11.0,9.0,22.0,16.0,1.0,0.4,1.4,20.0,
14 nov. 2020 05:11,3.0,12.0,11.0,30.0,16.0,1.0,0.6,1.7,18.0,
14 nov. 2020 06:11,3.0,11.0,12.0,34.0,15.0,1.0,1.1,1.8,25.0,
14 nov. 2020 07:11,3.0,14.0,11.0,30.0,19.0,1.0,1.1,2.0,24.0,
14 nov. 2020 08:11,3.0,26.0,11.0,23.0,30.0,1.0,1.1,2.0,28.0,
14 nov. 2020 09:11,6.0,31.0,10.0,11.0,39.0,0.8,0.9,2.0,34.0,
14 nov. 2020 10:11,4.0,21.0,12.0,30.0,27.0,1.0,0.9,2.0,36.0,
14 nov. 2020 11:11,4.0,16.0,11.0,36.0,21.0,0.3,0.7,1.8,35.0,
14 nov. 2020 12:11,4.0,21.0,12.0,41.0,26.0,0.6,1.1,2.0,24.0,
14 nov. 2020 13:11,4.0,20.0,12.0,55.0,26.0,0.8,1.0,1.9,22.0,
14 nov. 2020 14:11,3.0,15.0,11.0,59.0,20.0,0.9,1.1,1.8,24.0,
14 nov. 2020 15:11,4.0,16.0,10.0,58.0,23.0,0.8,1.1,1.4,28.0,
14 nov. 2020 16:11,3.0,12.0,11.0,59.0,17.0,1.0,1.1,1.5,24.0,
14 nov. 2020 17:11,3.0,11.0,10.0,63.0,16.0,0.7,1.1,1.6,21.0,
14 nov. 2020 18:11,3.0,10.0,9.0,60.0,15.0,0.8,0.9,2.0,25.0,
14 nov. 2020 19:11,3.0,14.0,10.0,52.0,20.0,0.7,0.5,2.0,25.0,
14 nov. 2020 20:11,4.0,16.0,14.0,46.0,21.0,0.6,0.4,2.0,27.0,
14 nov. 2020 21:11,4.0,16.0,12.0,39.0,22.0,1.0,1.0,1.5,23.0,
14 nov. 2020 22:11,3.0,20.0,11.0,20.0,24.0,1.0,0.5,1.6,21.0,
14 nov. 2020 23:11,3.0,17.0,11.0,15.0,22.0,0.5,0.7,1.6,24.0,
15 nov. 2020 00:11,4.0,18.0,12.0,11.0,25.0,0.6,0.7,1.5,19.0,
15 nov. 2020 01:11,3.0,12.0,12.0,14.0,16.0,0.8,0.6,1.5,16.0,
15 nov. 2020 02:11,3.0,14.0,13.0,20.0,19.0,1.0,0.7,1.5,15.0,
15 nov. 2020 03:11,3.0,11.0,13.0,19.0,15.0,1.0,0.6,1.5,12.0,
15 nov. 2020 04:11,3.0,11.0,13.0,19.0,16.0,1.0,0.7,1.4,14.0,
15 nov. 2020 05:11,3.0,8.0,13.0,33.0,13.0,0.6,0.5,1.7,17.0,
15 nov. 2020 06:11,3.0,8.0,13.0,36.0,13.0,0.5,0.6,2.0,6.0,
15 nov. 2020 07:11,3.0,9.0,13.0,27.0,13.0,0.8,1.1,2.0,2.0,
15 nov. 2020 08:11,3.0,9.0,13.0,29.0,14.0,1.0,1.1,2.0,10.0,
15 nov. 2020 09:11,3.0,10.0,13.0,29.0,15.0,1.0,1.1,2.0,12.0,
15 nov. 2020 10:11,3.0,11.0,13.0,32.0,15.0,1.0,1.1,2.0,16.0,
15 nov. 2020 11:11,4.0,14.0,10.0,39.0,19.0,1.0,1.1,2.0,6.0,
15 nov. 2020 12:11,4.0,11.0,10.0,49.0,18.0,0.8,1.1,2.0,27.0,
15 nov. 2020 13:11,4.0,15.0,9.0,54.0,22.0,0.8,0.9,1.8,19.0,
15 nov. 2020 14:11,4.0,12.0,9.0,59.0,18.0,0.5,0.9,1.6,7.0,
15 nov. 2020 15:11,4.0,13.0,10.0,57.0,19.0,0.8,1.0,1.6,16.0,
15 nov. 2020 16:11,3.0,12.0,9.0,59.0,18.0,0.8,1.1,1.7,9.0,
15 nov. 2020 17:11,3.0,11.0,9.0,67.0,15.0,1.0,1.1,2.0,14.0,
15 nov. 2020 18:11,3.0,13.0,9.0,65.0,17.0,1.0,1.1,2.0,17.0,
15 nov. 2020 19:11,3.0,12.0,10.0,57.0,17.0,0.8,1.3,2.0,26.0,
15 nov. 2020 20:11,3.0,11.0,10.0,42.0,16.0,1.0,1.0,2.0,18.0,
15 nov. 2020 21:11,3.0,17.0,10.0,34.0,22.0,0.8,1.1,2.0,19.0,
15 nov. 2020 22:11,3.0,12.0,10.0,41.0,16.0,0.8,0.6,2.0,27.0,
15 nov. 2020 23:11,3.0,10.0,10.0,42.0,14.0,0.5,0.6,2.0,14.0,
16 nov. 2020 00:11,3.0,12.0,11.0,27.0,17.0,0.8,0.7,2.0,8.0,
16 nov. 2020 01:11,3.0,10.0,12.0,28.0,15.0,0.6,0.8,2.0,14.0,
16 nov. 2020 02:11,3.0,9.0,11.0,22.0,14.0,0.6,0.4,2.0,12.0,
16 nov. 2020 03:11,3.0,7.0,11.0,25.0,12.0,1.0,1.0,2.0,12.0,
16 nov. 2020 04:11,3.0,9.0,11.0,22.0,14.0,1.0,1.1,2.0,7.0,
16 nov. 2020 05:11,3.0,11.0,11.0,16.0,16.0,0.4,0.7,2.0,7.0,
16 nov. 2020 06:11,4.0,10.0,10.0,19.0,15.0,0.1,0.7,2.0,11.0,
16 nov. 2020 07:11,6.0,20.0,12.0,12.0,28.0,0.4,0.7,2.0,11.0,
16 nov. 2020 08:11,6.0,17.0,12.0,16.0,26.0,1.0,0.5,2.0,15.0,
16 nov. 2020 09:11,8.0,22.0,11.0,12.0,34.0,1.0,1.1,2.0,16.0,
16 nov. 2020 10:11,8.0,21.0,11.0,24.0,33.0,0.8,0.7,2.0,27.0,
16 nov. 2020 11:11,4.0,15.0,10.0,37.0,22.0,1.0,1.1,2.0,22.0,
16 nov. 2020 12:11,3.0,14.0,9.0,51.0,20.0,1.0,0.9,2.0,31.0,
16 nov. 2020 13:11,3.0,11.0,9.0,57.0,16.0,1.0,1.1,2.0,26.0,
16 nov. 2020 14:11,3.0,13.0,9.0,59.0,17.0,1.0,1.1,2.0,27.0,
16 nov. 2020 15:11,3.0,11.0,8.0,65.0,16.0,1.0,1.1,2.0,15.0,
16 nov. 2020 16:11,3.0,14.0,7.0,64.0,18.0,1.0,1.1,2.0,15.0,
16 nov. 2020 17:11,3.0,12.0,9.0,61.0,17.0,1.0,1.1,2.0,19.0,
16 nov. 2020 18:11,3.0,13.0,9.0,48.0,17.0,1.0,1.1,2.0,51.0,
16 nov. 2020 19:11,3.0,14.0,9.0,41.0,18.0,1.0,1.1,2.0,24.0,
16 nov. 2020 20:11,4.0,16.0,9.0,31.0,21.0,1.0,1.1,2.0,19.0,
16 nov. 2020 21:11,5.0,30.0,9.0,20.0,38.0,0.7,1.1,2.0,40.0,
16 nov. 2020 22:11,4.0,19.0,9.0,21.0,25.0,0.6,0.9,1.8,21.0,
16 nov. 2020 23:11,3.0,13.0,9.0,28.0,18.0,1.0,0.8,1.7,15.0,
17 nov. 2020 00:11,3.0,10.0,9.0,37.0,14.0,1.0,1.1,1.9,19.0,
17 nov. 2020 01:11,3.0,8.0,9.0,39.0,13.0,1.0,1.1,2.0,11.0,
17 nov. 2020 02:11,3.0,9.0,10.0,32.0,13.0,1.0,1.1,2.0,12.0,
17 nov. 2020 03:11,3.0,8.0,11.0,33.0,12.0,1.0,1.1,2.0,16.0,
17 nov. 2020 04:11,3.0,8.0,11.0,31.0,12.0,1.0,1.1,1.8,15.0,
17 nov. 2020 05:11,3.0,9.0,10.0,26.0,13.0,1.0,1.1,2.0,12.0,
17 nov. 2020 06:11,3.0,9.0,10.0,28.0,14.0,1.0,1.1,2.0,18.0,
17 nov. 2020 07:11,3.0,9.0,12.0,24.0,13.0,1.0,1.1,2.0,15.0,
17 nov. 2020 08:11,3.0,12.0,12.0,25.0,17.0,1.0,1.1,2.0,18.0,
17 nov. 2020 09:11,5.0,17.0,11.0,20.0,25.0,1.0,1.1,2.0,25.0,
17 nov. 2020 10:11,12.0,28.0,12.0,12.0,45.0,1.0,1.1,2.0,41.0,
17 nov. 2020 11:11,4.0,11.0,10.0,42.0,17.0,1.0,1.1,2.0,28.0,
17 nov. 2020 12:11,3.0,9.0,10.0,54.0,14.0,1.0,1.1,2.0,20.0,
17 nov. 2020 13:11,3.0,8.0,10.0,58.0,13.0,1.0,1.1,2.0,20.0,
17 nov. 2020 14:11,3.0,12.0,10.0,61.0,17.0,1.0,1.1,2.0,25.0,
17 nov. 2020 15:11,4.0,11.0,9.0,65.0,18.0,1.0,1.1,1.5,32.0,
17 nov. 2020 16:11,4.0,17.0,8.0,64.0,22.0,1.0,1.1,1.7,31.0,
17 nov. 2020 17:11,4.0,10.0,8.0,65.0,16.0,1.0,1.1,1.5,24.0,
17 nov. 2020 18:11,3.0,12.0,8.0,59.0,18.0,1.0,1.1,2.0,28.0,
17 nov. 2020 19:11,4.0,13.0,10.0,50.0,20.0,1.0,1.1,2.0,33.0,
17 nov. 2020 20:11,4.0,15.0,9.0,46.0,20.0,1.0,0.6,2.0,26.0,
17 nov. 2020 21:11,4.0,12.0,9.0,38.0,18.0,1.0,0.9,2.0,17.0,
17 nov. 2020 22:11,4.0,20.0,10.0,16.0,25.0,1.0,0.6,2.0,38.0,
17 nov. 2020 23:11,4.0,24.0,11.0,6.0,31.0,1.0,0.9,2.0,35.0,
18 nov. 2020 00:11,3.0,18.0,13.0,8.0,22.0,1.0,0.8,2.0,25.0,
18 nov. 2020 01:11,3.0,14.0,12.0,22.0,18.0,1.0,0.7,2.0,28.0,
18 nov. 2020 02:11,3.0,6.0,12.0,29.0,11.0,1.0,0.5,2.0,20.0,
18 nov. 2020 03:11,3.0,8.0,13.0,16.0,13.0,1.0,0.4,2.0,16.0,
18 nov. 2020 04:11,3.0,8.0,13.0,29.0,12.0,1.0,1.0,2.0,22.0,
18 nov. 2020 05:11,3.0,8.0,14.0,32.0,13.0,1.0,1.1,2.0,14.0,
18 nov. 2020 06:11,8.0,13.0,14.0,32.0,24.0,1.0,1.1,2.0,16.0,
18 nov. 2020 07:11,4.0,10.0,13.0,23.0,16.0,1.0,1.1,2.0,17.0,
18 nov. 2020 08:11,3.0,11.0,13.0,19.0,16.0,1.0,1.1,2.0,18.0,
18 nov. 2020 09:11,4.0,13.0,13.0,20.0,19.0,1.0,1.1,2.0,26.0,
18 nov. 2020 10:11,5.0,15.0,13.0,28.0,22.0,1.0,1.1,2.0,28.0,
18 nov. 2020 11:11,4.0,15.0,13.0,35.0,20.0,1.0,1.1,2.0,26.0,
18 nov. 2020 12:11,4.0,11.0,11.0,41.0,18.0,1.0,1.1,2.0,31.0,
18 nov. 2020 13:11,3.0,13.0,10.0,50.0,18.0,1.0,1.1,2.0,25.0,
18 nov. 2020 14:11,4.0,14.0,10.0,48.0,20.0,1.0,1.1,2.0,27.0,
18 nov. 2020 15:11,4.0,12.0,10.0,63.0,18.0,1.0,1.1,2.0,15.0,
18 nov. 2020 16:11,4.0,11.0,9.0,69.0,17.0,1.0,1.1,2.0,11.0,
18 nov. 2020 17:11,3.0,12.0,9.0,67.0,17.0,1.0,1.1,2.0,25.0,
18 nov. 2020 18:11,3.0,13.0,10.0,59.0,19.0,1.0,1.1,2.0,22.0,
18 nov. 2020 19:11,4.0,15.0,11.0,49.0,21.0,1.0,0.9,2.0,24.0,
18 nov. 2020 20:11,4.0,13.0,12.0,42.0,20.0,1.0,0.9,2.0,20.0,
18 nov. 2020 21:11,6.0,32.0,12.0,12.0,41.0,1.0,0.6,2.0,37.0,
18 nov. 2020 22:11,4.0,25.0,12.0,7.0,31.0,1.0,0.8,2.0,28.0,
18 nov. 2020 23:11,4.0,22.0,11.0,13.0,28.0,1.0,1.1,1.9,29.0,
19 nov. 2020 00:11,3.0,12.0,10.0,25.0,17.0,1.0,0.8,2.0,13.0,
19 nov. 2020 01:11,3.0,8.0,10.0,25.0,12.0,1.0,0.4,2.0,9.0,
19 nov. 2020 02:11,3.0,10.0,10.0,22.0,15.0,1.0,0.5,2.0,22.0,
19 nov. 2020 03:11,3.0,10.0,11.0,37.0,14.0,1.0,1.0,2.0,15.0,
19 nov. 2020 04:11,3.0,9.0,10.0,30.0,14.0,1.0,1.1,2.0,15.0,
19 nov. 2020 05:11,3.0,10.0,11.0,18.0,15.0,1.0,1.1,2.0,14.0,
19 nov. 2020 06:11,3.0,11.0,11.0,12.0,16.0,0.8,1.1,2.0,18.0,
19 nov. 2020 07:11,7.0,19.0,12.0,6.0,29.0,1.0,1.1,2.0,24.0,
19 nov. 2020 08:11,8.0,21.0,12.0,10.0,34.0,1.0,1.1,2.0,28.0,
19 nov. 2020 09:11,8.0,24.0,12.0,8.0,37.0,1.0,1.1,2.0,43.0,
19 nov. 2020 10:11,6.0,17.0,12.0,23.0,27.0,0.8,1.0,1.9,42.0,
19 nov. 2020 11:11,5.0,12.0,11.0,37.0,19.0,1.0,1.0,2.0,30.0,
19 nov. 2020 12:11,4.0,14.0,11.0,56.0,20.0,1.0,1.1,2.0,16.0,
19 nov. 2020 13:11,3.0,11.0,10.0,67.0,17.0,1.0,1.1,2.0,31.0,
19 nov. 2020 14:11,3.0,11.0,10.0,57.0,16.0,1.0,1.1,2.0,29.0,
19 nov. 2020 15:11,3.0,10.0,10.0,73.0,15.0,1.0,1.1,2.0,11.0,
19 nov. 2020 16:11,3.0,11.0,9.0,74.0,15.0,1.0,1.1,2.0,13.0,
19 nov. 2020 17:11,3.0,12.0,10.0,75.0,17.0,1.0,1.1,2.0,42.0,
19 nov. 2020 18:11,3.0,13.0,10.0,67.0,18.0,1.0,1.1,2.0,37.0,
19 nov. 2020 19:11,3.0,21.0,11.0,52.0,26.0,1.0,0.9,2.0,47.0,
19 nov. 2020 20:11,8.0,34.0,13.0,25.0,46.0,1.0,0.9,3.6,59.0,
19 nov. 2020 21:11,7.0,39.0,13.0,15.0,51.0,1.0,0.8,2.4,67.0,
19 nov. 2020 22:11,4.0,29.0,13.0,17.0,34.0,1.0,0.8,1.9,45.0,
19 nov. 2020 23:11,3.0,17.0,11.0,32.0,22.0,1.0,0.8,1.6,38.0,
20 nov. 2020 00:11,3.0,17.0,11.0,31.0,21.0,1.0,0.6,1.6,32.0,
20 nov. 2020 01:11,3.0,11.0,10.0,29.0,15.0,1.0,0.5,2.0,27.0,
20 nov. 2020 02:11,3.0,9.0,12.0,35.0,14.0,1.0,0.5,2.0,30.0,
20 nov. 2020 03:11,3.0,7.0,12.0,47.0,12.0,1.0,0.6,2.0,26.0,
20 nov. 2020 04:11,3.0,10.0,10.0,43.0,14.0,1.0,1.1,2.0,24.0,
20 nov. 2020 05:11,3.0,8.0,10.0,46.0,13.0,1.0,1.1,2.0,23.0,
20 nov. 2020 06:11,3.0,10.0,10.0,36.0,15.0,1.0,1.1,2.0,21.0,
20 nov. 2020 07:11,3.0,9.0,12.0,41.0,14.0,1.0,1.1,2.0,21.0,
20 nov. 2020 08:11,4.0,11.0,12.0,35.0,16.0,1.0,1.1,2.0,14.0,
20 nov. 2020 09:11,3.0,13.0,10.0,36.0,18.0,1.0,1.1,2.0,25.0,
20 nov. 2020 10:11,4.0,11.0,11.0,38.0,18.0,1.0,1.1,2.0,31.0,
20 nov. 2020 11:11,4.0,18.0,11.0,54.0,24.0,1.0,1.1,2.0,34.0,
20 nov. 2020 12:11,3.0,13.0,11.0,59.0,17.0,1.0,1.1,2.0,15.0,
20 nov. 2020 13:11,3.0,10.0,10.0,73.0,14.0,1.0,1.1,2.0,27.0,
20 nov. 2020 14:11,3.0,11.0,10.0,73.0,15.0,1.0,1.1,2.0,37.0,
20 nov. 2020 15:11,3.0,9.0,8.0,77.0,14.0,1.0,1.1,2.0,19.0,
20 nov. 2020 16:11,3.0,8.0,7.0,71.0,13.0,1.0,1.1,2.0,19.0,
20 nov. 2020 17:11,3.0,9.0,7.0,70.0,14.0,1.0,1.1,2.0,20.0,
20 nov. 2020 18:11,3.0,9.0,9.0,67.0,14.0,1.0,1.1,2.0,28.0,
20 nov. 2020 19:11,3.0,16.0,9.0,54.0,21.0,1.0,1.1,2.0,31.0,
20 nov. 2020 20:11,5.0,29.0,9.0,30.0,37.0,1.0,1.1,2.0,36.0,
20 nov. 2020 21:11,7.0,40.0,10.0,14.0,50.0,1.0,1.2,1.9,34.0,
20 nov. 2020 22:11,4.0,26.0,9.0,20.0,33.0,1.0,0.6,2.0,32.0,
20 nov. 2020 23:11,3.0,16.0,9.0,36.0,21.0,1.0,0.8,2.0,19.0,
21 nov. 2020 00:11,3.0,10.0,10.0,41.0,14.0,1.0,1.1,2.0,11.0,
21 nov. 2020 01:11,3.0,10.0,9.0,38.0,15.0,1.0,1.1,2.0,9.0,
21 nov. 2020 02:11,3.0,10.0,10.0,47.0,14.0,1.0,1.1,2.0,7.0,
21 nov. 2020 03:11,3.0,8.0,10.0,55.0,12.0,1.0,1.1,2.0,6.0,
21 nov. 2020 04:11,3.0,7.0,10.0,54.0,12.0,1.0,1.1,2.0,6.0,
21 nov. 2020 05:11,3.0,7.0,10.0,53.0,11.0,1.0,1.1,2.0,7.0,
21 nov. 2020 06:11,3.0,10.0,10.0,48.0,14.0,1.0,1.1,2.0,8.0,
21 nov. 2020 07:11,3.0,13.0,11.0,42.0,18.0,1.0,1.1,2.0,9.0,
21 nov. 2020 08:11,4.0,23.0,11.0,27.0,29.0,1.0,1.1,2.0,14.0,
21 nov. 2020 09:11,5.0,22.0,12.0,26.0,30.0,1.0,1.1,2.0,43.0,
21 nov. 2020 10:11,5.0,17.0,11.0,42.0,24.0,1.0,1.1,2.0,27.0,
21 nov. 2020 11:11,3.0,12.0,10.0,70.0,17.0,1.0,1.1,2.0,17.0,
21 nov. 2020 12:11,3.0,8.0,9.0,81.0,13.0,1.0,1.1,2.0,8.0,
21 nov. 2020 13:11,3.0,10.0,9.0,88.0,14.0,1.0,1.1,2.0,7.0,
21 nov. 2020 14:11,3.0,9.0,9.0,97.0,13.0,1.0,1.1,2.0,17.0,
21 nov. 2020 15:11,3.0,7.0,8.0,93.0,12.0,1.0,1.1,2.0,17.0,
21 nov. 2020 16:11,3.0,7.0,7.0,94.0,12.0,1.0,1.1,2.0,10.0,
21 nov. 2020 17:11,3.0,8.0,7.0,93.0,12.0,1.0,1.1,2.0,20.0,
21 nov. 2020 18:11,3.0,8.0,8.0,84.0,13.0,1.0,1.1,2.0,36.0,
21 nov. 2020 19:11,3.0,7.0,8.0,69.0,12.0,1.0,1.1,2.0,26.0,
21 nov. 2020 20:11,3.0,17.0,10.0,48.0,22.0,1.0,1.1,2.0,30.0,
21 nov. 2020 21:11,3.0,17.0,11.0,42.0,23.0,1.0,1.1,2.0,31.0,
21 nov. 2020 22:11,3.0,12.0,13.0,48.0,17.0,1.0,1.1,2.0,26.0,
21 nov. 2020 23:11,3.0,13.0,11.0,49.0,17.0,1.0,1.1,2.0,19.0,
22 nov. 2020 00:11,3.0,10.0,12.0,48.0,15.0,1.0,1.1,2.0,22.0,
22 nov. 2020 01:11,3.0,7.0,12.0,58.0,12.0,1.0,1.1,2.0,19.0,
22 nov. 2020 02:11,3.0,8.0,12.0,62.0,13.0,1.0,1.1,2.0,15.0,
22 nov. 2020 03:11,3.0,8.0,11.0,58.0,12.0,1.0,1.1,2.0,15.0,
22 nov. 2020 04:11,3.0,7.0,11.0,55.0,12.0,1.0,1.1,2.0,12.0,
22 nov. 2020 05:11,3.0,8.0,10.0,54.0,13.0,1.0,1.1,2.0,13.0,
22 nov. 2020 06:11,3.0,7.0,10.0,58.0,12.0,1.0,1.1,2.0,12.0,
22 nov. 2020 07:11,3.0,6.0,9.0,58.0,11.0,1.0,1.1,2.0,11.0,
22 nov. 2020 08:11,3.0,9.0,12.0,54.0,14.0,1.0,1.1,2.0,10.0,
22 nov. 2020 09:11,3.0,7.0,10.0,54.0,11.0,1.0,1.1,2.0,12.0,
22 nov. 2020 10:11,3.0,7.0,11.0,49.0,13.0,1.0,1.1,2.0,17.0,
22 nov. 2020 11:11,3.0,9.0,12.0,59.0,14.0,1.0,1.1,2.0,26.0,
22 nov. 2020 12:11,3.0,9.0,11.0,82.0,14.0,1.0,1.1,2.0,17.0,
22 nov. 2020 13:11,3.0,12.0,11.0,92.0,17.0,1.0,1.1,2.0,11.0,
22 nov. 2020 14:11,3.0,11.0,9.0,98.0,16.0,1.0,1.1,2.0,11.0,
22 nov. 2020 15:11,3.0,10.0,9.0,104.0,15.0,1.0,1.1,2.0,12.0,
22 nov. 2020 16:11,3.0,10.0,8.0,102.0,14.0,1.0,1.1,2.0,13.0,
22 nov. 2020 17:11,3.0,10.0,9.0,101.0,15.0,1.0,1.1,2.0,17.0,
22 nov. 2020 18:11,4.0,11.0,8.0,94.0,16.0,1.0,1.1,2.0,16.0,
22 nov. 2020 19:11,3.0,14.0,10.0,77.0,18.0,1.0,1.1,2.0,25.0,
22 nov. 2020 20:11,4.0,24.0,9.0,49.0,29.0,1.0,1.1,2.0,24.0,
22 nov. 2020 21:11,4.0,27.0,9.0,20.0,32.0,1.0,1.1,2.0,29.0,
22 nov. 2020 22:11,3.0,15.0,12.0,30.0,20.0,1.0,1.1,2.0,26.0,
22 nov. 2020 23:11,3.0,12.0,12.0,34.0,17.0,1.0,1.1,2.0,15.0,
23 nov. 2020 00:11,3.0,9.0,14.0,40.0,14.0,1.0,1.1,2.0,18.0,
23 nov. 2020 01:11,3.0,9.0,14.0,41.0,14.0,1.0,1.1,2.0,18.0,
23 nov. 2020 02:11,3.0,10.0,13.0,59.0,14.0,1.0,1.1,2.0,23.0,
23 nov. 2020 03:11,3.0,8.0,13.0,66.0,12.0,1.0,1.1,2.0,15.0,
23 nov. 2020 04:11,3.0,9.0,12.0,59.0,13.0,1.0,1.1,2.0,12.0,
23 nov. 2020 05:11,3.0,7.0,11.0,54.0,11.0,1.0,1.1,2.0,9.0,
23 nov. 2020 06:11,5.0,8.0,13.0,55.0,15.0,1.0,1.1,2.0,15.0,
23 nov. 2020 07:11,3.0,10.0,13.0,51.0,15.0,1.0,1.1,2.0,14.0,
23 nov. 2020 08:11,4.0,16.0,13.0,45.0,22.0,1.0,1.1,2.0,15.0,
23 nov. 2020 09:11,4.0,16.0,13.0,45.0,23.0,1.0,1.1,2.0,23.0,
23 nov. 2020 10:11,4.0,13.0,13.0,51.0,20.0,1.0,1.1,2.0,24.0,
23 nov. 2020 11:11,5.0,17.0,11.0,54.0,24.0,1.0,1.1,2.0,28.0,
23 nov. 2020 12:11,5.0,20.0,10.0,75.0,28.0,1.0,1.1,2.0,33.0,
23 nov. 2020 13:11,4.0,11.0,9.0,95.0,16.0,1.0,1.1,2.0,12.0,
23 nov. 2020 14:11,3.0,10.0,9.0,101.0,15.0,1.0,1.1,2.0,16.0,
23 nov. 2020 15:11,3.0,11.0,8.0,106.0,16.0,1.0,1.1,2.0,10.0,
23 nov. 2020 16:11,3.0,10.0,7.0,106.0,15.0,1.0,1.1,2.0,19.0,
23 nov. 2020 17:11,3.0,9.0,7.0,108.0,13.0,1.0,1.1,2.0,23.0,
23 nov. 2020 18:11,3.0,13.0,7.0,101.0,18.0,1.0,1.1,2.0,22.0,
23 nov. 2020 19:11,4.0,24.0,9.0,76.0,31.0,1.0,1.1,2.0,31.0,
23 nov. 2020 20:11,4.0,30.0,9.0,47.0,36.0,1.0,1.1,2.0,33.0,
23 nov. 2020 21:11,10.0,47.0,10.0,8.0,62.0,1.0,1.1,2.0,50.0,
23 nov. 2020 22:11,4.0,34.0,11.0,15.0,40.0,1.0,1.1,2.0,48.0,
